Dataset,Model,Variant,Label Fraction (%),n,mean,std,median,min,max,collapsed,collapse_rate,bimodal
KDSB,SimSiam,base,1,5,0.50946304500103,0.1992629333643894,0.5874871611595154,0.1607243865728378,0.6367089152336121,0,0.0,False
KDSB,SimSiam,base,5,5,0.5648676037788392,0.06480637918541703,0.5712447166442871,0.4727978110313415,0.642447829246521,0,0.0,False
KDSB,SimSiam,base,10,5,0.4556943714618683,0.08657992617700735,0.4868327677249908,0.3063963949680328,0.5165814161300659,0,0.0,False
KDSB,SimSiam,base,20,5,0.49161988496780396,0.04282469538666709,0.5185859203338623,0.4360652565956116,0.5261936783790588,0,0.0,False
KDSB,SimSiam,base,50,5,0.715759015083313,0.17480511297835155,0.8321178555488586,0.5061585903167725,0.8618675470352173,0,0.0,False
KDSB,SimSiam,bs32,5,5,0.6092008829116822,0.0777006568001981,0.6377599835395813,0.497274100780487,0.6971873641014099,0,0.0,False
KDSB,SimSiam,bs64,5,5,0.6179663300514221,0.051241817790094124,0.6256808042526245,0.5546634793281555,0.6767278909683228,0,0.0,False
KDSB,SimSiam,cropflip,5,5,0.6377715468406677,0.05167419505930416,0.6634098887443542,0.558478057384491,0.6832349896430969,0,0.0,False
KDSB,SimSiam,e0,5,5,0.28730679005384446,0.18542518814063225,0.2908269166946411,0.0458302423357963,0.5234084725379944,1,0.2,True
KDSB,SimSiam,e200,5,5,0.6633304715156555,0.02278087901726201,0.6600813269615173,0.6372125148773193,0.6882258057594299,0,0.0,False
KDSB,SimSiam,e25,5,5,0.6607921957969666,0.04390372171503439,0.6432186961174011,0.6099655032157898,0.7173139452934265,0,0.0,False
KDSB,SimSiam,e50,5,5,0.5977056384086609,0.04368181129330372,0.5925876498222351,0.5502414703369141,0.6440503001213074,0,0.0,False
KDSB,SimSiam,frozen,1,5,0.5638464689254761,0.04651100427537601,0.5611001253128052,0.5026923418045044,0.6224492788314819,0,0.0,False
KDSB,SimSiam,frozen,5,5,0.634951376914978,0.028805758732556166,0.653123676776886,0.5967978239059448,0.6591979265213013,0,0.0,False
KDSB,SimSiam,frozen,10,5,0.622507107257843,0.011510902543496357,0.620180606842041,0.610893189907074,0.639106035232544,0,0.0,False
KDSB,SimSiam,nostopgrad,5,5,0.5348438024520874,0.12083207199360035,0.5840893387794495,0.3358335494995117,0.6244834065437317,0,0.0,False
KDSB,SimSiam,pred128,5,5,0.6443910837173462,0.02235588191252134,0.6534604430198669,0.6139140129089355,0.6683821678161621,0,0.0,False
KDSB,SimSiam,pred32,5,5,0.6207168221473693,0.034110170467086205,0.6295382380485535,0.5699623227119446,0.65455162525177,0,0.0,False
KDSB,SimSiam,proj2048,5,5,0.6610777616500855,0.02435044156384281,0.6735742688179016,0.6229238510131836,0.6826858520507812,0,0.0,False
KDSB,SimSiam,proj256,5,5,0.6371978640556335,0.02106802661831461,0.6252977252006531,0.6167705059051514,0.6628080010414124,0,0.0,False
KDSB,SimSiam,proj512,5,5,0.6089229702949523,0.11906105075251162,0.6384223699569702,0.4060124158859253,0.7101171016693115,0,0.0,False
KDSB,SimSiam,sslbudget20,20,5,0.6188534617424011,0.06665884102896075,0.6376162171363831,0.5416024923324585,0.6884998679161072,0,0.0,False
KDSB,SimSiam,sslbudget5,5,5,0.524621969461441,0.04606721412477586,0.517153799533844,0.4736426472663879,0.5946583151817322,0,0.0,False
