Dataset,Model,Variant,Label Fraction (%),Folds run,Fold mean Test Dice,Fold std Test Dice,Fold median Test Dice,Collapsed folds,bimodal,Ensemble Test Dice (filtered),Folds combined (filtered),Ensemble Test Dice (unfiltered),Folds combined (unfiltered)
KDSB,BT-UNet,frozen,1,5,0.5281063973903656,0.029861905919959714,0.5279700756072998,0,False,0.5503643155097961,5.0,0.5503643155097961,5
KDSB,BT-UNet,frozen,5,5,0.5873845338821411,0.052224059485528815,0.5947383046150208,0,False,0.5951226949691772,5.0,0.5951226949691772,5
KDSB,BT-UNet,frozen,10,5,0.5877766489982605,0.035146271840101335,0.5928893685340881,0,False,0.6009190082550049,5.0,0.6009190082550049,5
KDSB,BT-UNet,lambda0001,5,5,0.4845181882381439,0.09840053126771685,0.5153722167015076,0,False,0.5423691272735596,5.0,0.5423691272735596,5
KDSB,BT-UNet,lambda002,5,5,0.5601749181747436,0.017703194743881934,0.5555580258369446,0,False,0.5626012682914734,5.0,0.5626012682914734,5
KDSB,BT-UNet,lossbce,5,5,0.5583867073059082,0.045809634099965586,0.5627787113189697,0,False,0.5645878314971924,5.0,0.5645878314971924,5
KDSB,BT-UNet,lossdice,5,5,0.5796325325965881,0.037483053510555434,0.5661735534667969,0,False,0.5859123468399048,5.0,0.5859123468399048,5
KDSB,BT-UNet,proj2048,5,5,0.5585688054561615,0.0461061415956721,0.5715166330337524,0,False,0.568594217300415,5.0,0.568594217300415,5
KDSB,BT-UNet,proj256,5,5,0.5844642877578735,0.03858225351974223,0.5967323184013367,0,False,0.59719318151474,5.0,0.59719318151474,5
KDSB,BT-UNet,proj512,5,5,0.5976028084754944,0.02882996338654991,0.601900577545166,0,False,0.6189225316047668,5.0,0.6189225316047668,5
KDSB,BT-UNet,smoke,1,5,0.32358985841274257,0.08177183226719248,0.357855349779129,0,False,0.3700554966926574,5.0,0.3700554966926574,5
KDSB,BT-UNet,sslbudget20,20,5,0.5332743227481842,0.04776927303610211,0.553216278553009,0,False,0.5672067403793335,5.0,0.5672067403793335,5
KDSB,BT-UNet,sslbudget5,5,5,0.0003699925437103,0.0,0.0003699925437103,5,False,,,0.0003699925437103,5
KDSB,Baseline,base,1,5,0.26274350152234544,0.17863719002492182,0.2935866713523865,1,False,0.4451822936534881,4.0,0.4307477176189422,5
KDSB,Baseline,base,5,5,0.3570626094937325,0.29491738650189353,0.3010787665843963,1,True,0.7030970454216003,4.0,0.7251054644584656,5
KDSB,Baseline,base,10,5,0.3206973910331726,0.17516557885310602,0.3797909915447235,1,False,0.4061484336853027,4.0,0.3355236649513244,5
KDSB,Baseline,base,20,5,0.6767658919095993,0.2859308941156354,0.7948901057243347,0,False,0.8134371042251587,5.0,0.8134371042251587,5
KDSB,Baseline,base,50,5,0.8855799820000001,0.010441557866962194,0.8886199,0,False,0.8984533,5.0,0.8984532952308655,5
