Dataset,Model,Fraction,Variant,n,collapsed,mean,median,std,d_mean,d_median,SE,d/SE,verdict
KDSB,SimSiam-UNET,10,attn,5,0,0.594653332233429,0.6011752486228943,0.026809580105253753,0.13895896077156067,0.1143424808979035,0.04053353476378802,3.428246798147599,clear
KDSB,SimSiam-UNET,10,actelu,5,0,0.5795554518699646,0.6112802624702454,0.0524582994822209,0.12386108040809629,0.12444749474525457,0.04527241279495145,2.735906322666961,weak
KDSB,SimSiam-UNET,10,d3,5,0,0.5791012048721313,0.5841967463493347,0.019599757639609826,0.12340683341026304,0.09736397862434393,0.03969945620873789,3.1085270478617053,clear
KDSB,SimSiam-UNET,10,d5,5,0,0.5311770439147949,0.5271773934364319,0.11991498260332835,0.07548267245292661,0.040344625711441096,0.06614482091528041,1.1411728296854307,noise
KDSB,SimSiam-UNET,10,noskip,5,0,0.514487874507904,0.5072898268699646,0.01369009907792271,0.0587935030460357,0.02045705914497381,0.039200771496437116,1.499804743673969,noise
KDSB,SimSiam-UNET,10,base,5,0,0.4556943714618683,0.4868327677249908,0.08657992617700735,0.0,0.0,,,reference
KDSB,SimSiam-UNET,20,outbn0,5,0,0.8404084920883179,0.8409431576728821,0.018056851361255333,0.34878860712051396,0.3223572373390198,0.020784630937513874,16.781082530120393,clear
KDSB,SimSiam-UNET,20,sslbudget20,5,0,0.6188534617424011,0.6376162171363831,0.06665884102896075,0.12723357677459712,0.11903029680252075,0.03543262796430738,3.590859162429733,clear
KDSB,SimSiam-UNET,20,base,5,0,0.49161988496780396,0.5185859203338623,0.04282469538666709,0.0,0.0,,,reference
KDSB,SimSiam-UNET,50,outbn0,5,0,0.8752940416336059,0.8749684691429138,0.0030922935327442583,0.15953502655029295,0.042850613594055176,0.0781874539842127,2.040417207887414,weak
KDSB,SimSiam-UNET,50,base,5,0,0.715759015083313,0.8321178555488586,0.17480511297835155,0.0,0.0,,,reference
KDSB,UNet,1,outbn0,5,1,0.33068680465221406,0.20212222635746,0.2295145057370824,0.06794330312986863,-0.09146444499492648,0.1300677930955525,0.522368385845949,noise
KDSB,UNet,1,base,5,1,0.26274350152234544,0.2935866713523865,0.17863719002492182,0.0,0.0,,,reference
KDSB,UNet,5,lossdice,5,0,0.5411825358867646,0.5383197069168091,0.16427878648000974,0.1841199263930321,0.23724094033241278,0.15097270253158473,1.2195577300109117,noise
KDSB,UNet,5,d3,5,0,0.5058239996433258,0.5173234343528748,0.21743597618814142,0.14876139014959333,0.21624466776847845,0.1638625452029824,0.9078425455024958,noise
KDSB,UNet,5,outbn0,5,0,0.4949130296707153,0.4411859512329101,0.23097939637417186,0.13785042017698285,0.1401071846485138,0.1675277567512226,0.822851226866779,noise
KDSB,UNet,5,w8,5,0,0.48610700368881227,0.5877779722213745,0.2748120791877024,0.1290443941950798,0.2866992056369782,0.18027642315542833,0.7158140367796293,noise
KDSB,UNet,5,actmish,5,0,0.45918784141540525,0.5053779482841492,0.2555386037918545,0.10212523192167278,0.20429918169975286,0.17451432198475725,0.5851968523855182,noise
KDSB,UNet,5,w32,5,0,0.4455787122249603,0.4465364217758178,0.11145057373173063,0.08851610273122784,0.1454576551914215,0.1409946773791402,0.6277974770154237,noise
KDSB,UNet,5,actgelu,5,0,0.4382971227169037,0.4871521592140198,0.1673107654241618,0.08123451322317121,0.18607339262962347,0.15163717030327764,0.5357163620285212,noise
